ut_id: 5566  name: 义乌市中心医院健康体检中心  province: 浙江  city: 义乌
ut_id: 5036  name: 巢湖艾诺体检中心  province: 安徽  city: 巢湖
ut_id: 5114  name: 福清康泰诚丰分院体检中心  province: 福建  city: 福清
ut_id: 5071  name: 福州市福清中山医院体检中心  province: 福建  city: 福清
ut_id: 6403  name: 福清美年大健康体检中心  province: 福建  city: 福清
ut_id: 5116  name: 福清康泰商展分院体检中心  province: 福建  city: 福清
ut_id: 3991  name: 菏泽美年大健康体检中心  province: 山东  city: 荷泽
ut_id: 4040  name: 济源美年大健康体检中心  province: 河南  city: 济源
ut_id: 4413  name: 仙桃职业学院附属医院体检中心  province: 湖北  city: 仙桃
ut_id: 5872  name: 天门市中医医院体检中心  province: 湖北  city: 天门市
ut_id: 4027  name: 新疆库尔勒美年大健康体检中心  province: 新疆  city: 库尔勒市
ut_id: 5631  name: 新疆石河子大学医学院第一附属医院体检中心  province: 新疆  city: 石河子市
ut_id: 5072  name: 耕莘医院  province: 台湾  city: 台湾
ut_id: 6490  name: 台北市北投医院体检中心  province: 台湾  city: 台湾
ut_id: 4708  name: 日本东京外苑东影像诊断中心  province: 海外  city: 日本
ut_id: 5054  name: 日本西台医院  province: 日本  city: 关东区
ut_id: 4905  name: 心脏影像诊所饭田桥－CVIC  province: 日本  city: 关东区
ut_id: 5053  name: 日本医科大健诊中心  province: 日本  city: 关东区
ut_id: 4709  name: 辻仲胃肠医院体检中心  province: 日本  city: 关东区
ut_id: 5219  name: 东都诊所  province: 日本  city: 关东区
ut_id: 5217  name: Midtown诊所  province: 日本  city: 关东区
ut_id: 5220  name: 外苑东影像诊断中心  province: 日本  city: 关东区
ut_id: 4913  name: 池袋皇家体检中心  province: 日本  city: 关东区
ut_id: 5417  name: 大阪市立大学医学部附属医院  province: 日本  city: 关东区
ut_id: 5416  name: 【千叶】东京BAY先端医疗幕张诊所  province: 日本  city: 关东区
ut_id: 4940  name: 银座健康诊疗院  province: 日本  city: 关东区
ut_id: 5409  name: 银座内幸町诊所  province: 日本  city: 关东区
ut_id: 4914  name: 埼玉中央医院体检中心  province: 日本  city: 关东区
ut_id: 4704  name: 癌研有明医院体检中心  province: 日本  city: 关东区
ut_id: 5415  name: 【神奈川】湘南镰仓综合医院  province: 日本  city: 关东区
ut_id: 5419  name: 中部德洲会医院  province: 日本  city: 关东区
ut_id: 5172  name: 吹田德州会医院  province: 日本  city: 关东区
ut_id: 5418  name: 札幌东德洲会医院  province: 日本  city: 关东区
ut_id: 5029  name: 日本国立国际医疗研究中心附属医院  province: 日本  city: 新宿区
